name	kind	kernels	exit	wall_s	bags	note
build	build	-	0	1		scripts/build.sh (docker layer cache as found)
dry_obstacle_native	dry	native	0	32	/mnt/ramdata/for_hackathon/doubleT_obstacle	
dry_clear_native	dry	native	0	35	/mnt/ramdata/for_hackathon/roundT_doubleT	
dry_obstacle_numpy	dry	numpy	1	30	/mnt/ramdata/for_hackathon/doubleT_obstacle	
dry_clear_numpy	dry	numpy	0	36	/mnt/ramdata/for_hackathon/roundT_doubleT	
ct_image	ct	native	0	69	/mnt/ramdata/for_hackathon/roundT_doubleT,/mnt/ramdata/for_hackathon/doubleT_obstacle	
ct_stock	ct	native	0	70	/mnt/ramdata/for_hackathon/roundT_doubleT,/mnt/ramdata/for_hackathon/doubleT_obstacle	
node_doubleT_obstacle_native	offline_node	native	0	20	/data/cache/doubleT_obstacle	
node_doubleT_obstacle_numpy	offline_node	numpy	0	28	/data/cache/doubleT_obstacle	
stages_doubleT_obstacle_native	offline_stages	native	0	12	/data/cache/doubleT_obstacle	
stages_doubleT_obstacle_numpy	offline_stages	numpy	0	20	/data/cache/doubleT_obstacle	
node_roundT_doubleT_native	offline_node	native	0	17	/data/cache/roundT_doubleT	
node_roundT_doubleT_numpy	offline_node	numpy	0	22	/data/cache/roundT_doubleT	
stages_roundT_doubleT_native	offline_stages	native	0	11	/data/cache/roundT_doubleT	
stages_roundT_doubleT_numpy	offline_stages	numpy	0	18	/data/cache/roundT_doubleT	
