[INFO] [launch]: All log files can be found below /root/.ros/log/2026-09-25-14-49-21-441405-compute-vm-8-16-100-ssd-1790344754523-1
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [detector_node-1]: process started with pid [22]
[detector_node-1] [INFO] [1790347762.145705707] [resense_detector]: sensor mount: forward=-y left=+x up=+z roll/pitch/yaw=0.0/0.0/0.0 deg; auto-calibration on
[detector_node-1] [INFO] [1790347762.163235152] [resense_detector]: ReSense detector listening on /lidar_points, /sensing/lidar/hesai128/pointcloud (+ auto-discovery); input reliability auto; per-frame kernels: native (_resense_native.cpython-310-x86_64-linux-gnu.so); resense 1.0.0
[detector_node-1] [WARN] [1790347762.164364641] [resense_detector]: net.core.rmem_max = 212992, net.core.rmem_default = 212992: below 32 MiB. A bag player on CycloneDDS (RMW_IMPLEMENTATION=rmw_cyclonedds_cpp) then delivers none of the ~24 MB 360-degree clouds to this node (a Fast DDS player, the Humble default, is not affected). Fix on the host: sudo sysctl -w net.core.rmem_max=33554432 net.core.rmem_default=33554432
[detector_node-1] [INFO] [1790347775.379768182] [resense_detector]: input 1: /lidar_points (frame_id=hesai_lidar, 307200 points)
[detector_node-1] [INFO] [1790347775.380816780] [resense_detector]: static TF resense_lidar -> hesai_lidar (identity)
[detector_node-1] [INFO] [1790347775.436526205] [resense_detector]: mount calibration: pending - 
[detector_node-1] [INFO] [1790347776.163984147] [resense_detector]: frame 5: clear; axis y=-0.01 R=-60890; 2.5 fps; latency mean 58 / p95 62 / max 63 ms; input period 100 ms; dropped 4 (1 skipped by the catch-up)
[detector_node-1] [INFO] [1790347778.164154261] [resense_detector]: frame 24: warning; axis y=-0.05 R=-2097; 9.5 fps; latency mean 43 / p95 51 / max 52 ms; input period 100 ms; dropped 13 (10 skipped by the catch-up)
[detector_node-1] [INFO] [1790347780.164099918] [resense_detector]: frame 42: warning; axis y=-0.01 R=-1121; 9.0 fps; latency mean 46 / p95 54 / max 60 ms; input period 100 ms; dropped 15 (12 skipped by the catch-up)
[detector_node-1] [INFO] [1790347782.164140665] [resense_detector]: frame 62: warning; axis y=+0.07 R=-1523; 10.0 fps; latency mean 51 / p95 58 / max 60 ms; input period 100 ms; dropped 15 (12 skipped by the catch-up)
[detector_node-1] [INFO] [1790347784.164567637] [resense_detector]: frame 76: warning; axis y=+0.02 R=-1292; 7.0 fps; latency mean 47 / p95 52 / max 57 ms; input period 100 ms; dropped 18 (15 skipped by the catch-up)
[detector_node-1] [INFO] [1790347786.164084478] [resense_detector]: frame 90: warning; axis y=+0.02 R=-1684; 7.0 fps; latency mean 47 / p95 55 / max 56 ms; input period 100 ms; dropped 26 (23 skipped by the catch-up)
[detector_node-1] [INFO] [1790347788.164088562] [resense_detector]: frame 106: clear; axis y=-0.04 R=-716; 8.0 fps; latency mean 46 / p95 55 / max 56 ms; input period 100 ms; dropped 29 (26 skipped by the catch-up)
[detector_node-1] [INFO] [1790347790.164035238] [resense_detector]: frame 124: warning; axis y=-0.06 R=-4446; 9.0 fps; latency mean 45 / p95 51 / max 55 ms; input period 100 ms; dropped 33 (30 skipped by the catch-up)
[detector_node-1] [INFO] [1790347792.164797839] [resense_detector]: frame 141: warning; axis y=-0.04 R=inf; 8.5 fps; latency mean 46 / p95 54 / max 57 ms; input period 100 ms; dropped 36 (33 skipped by the catch-up)
[detector_node-1] [INFO] [1790347794.164855960] [resense_detector]: frame 157: warning; axis y=-0.02 R=47079; 8.0 fps; latency mean 43 / p95 48 / max 50 ms; input period 100 ms; dropped 40 (37 skipped by the catch-up)
[detector_node-1] [INFO] [1790347796.164122994] [resense_detector]: frame 168: FAULT: no LiDAR frame for 0.5 s (> 0.5 s): path not monitored; 5.5 fps; latency mean 43 / p95 48 / max 52 ms; input period 100 ms; dropped 43 (40 skipped by the catch-up)
